"customername","policy_id","date","amount","paymentmethod"
"Divit Din",718,"2022-07-27","47361","UPI"
"Divit Kala",550,"2020-02-03","27155","UPI"
"Divit Kala",550,"2020-12-07","18860","Debit Card"
"Divit Loke",491,"2020-11-14","7356","Cash"
"Divyansh Kumer",938,"2022-06-14","5611","Net Banking"
"Diya Chacko",498,"2021-03-23","24529","Net Banking"
"Diya Chacko",682,"2021-10-01","3992","Credit Card"
"Diya Chacko",682,"2022-07-25","14880","UPI"
"Diya Chacko",722,"2022-12-26","30289","Cash"
"Diya Chacko",682,"2023-07-11","12740","Net Banking"
"Diya Chacko",682,"2024-02-26","44978","Credit Card"
"Diya Chacko",722,"2024-08-18","6563","Cash"
"Diya Subramaniam",458,"2019-12-19","4893","Credit Card"
"Diya Subramaniam",328,"2021-06-20","18861","Debit Card"
"Diya Subramaniam",328,"2021-08-02","45122","Net Banking"
"Diya Subramaniam",328,"2022-05-18","42509","Cash"
"Diya Wadhwa",520,"2020-08-17","18137","Credit Card"
"Diya Wadhwa",256,"2021-10-07","2119","UPI"
"Diya Wadhwa",520,"2021-10-31","5843","Net Banking"
"Diya Wadhwa",256,"2022-01-28","33311","Cash"
"Diya Wadhwa",520,"2022-10-17","47041","Debit Card"
"Diya Wadhwa",520,"2023-08-03","22594","Debit Card"
"Diya Wadhwa",520,"2024-03-06","16632","UPI"
"Diya Wadhwa",256,"2024-04-29","47163","UPI"
"Diya Zachariah",469,"2022-12-23","46794","Net Banking"
"Drishya Grover",154,"2020-12-19","9887","Cash"
"Drishya Grover",154,"2022-05-07","16567","Debit Card"
"Drishya Grover",154,"2023-06-28","41722","Cash"
"Ehsaan Ganesh",888,"2020-12-21","2134","UPI"
"Ehsaan Ganesh",888,"2021-07-06","37682","Cash"
"Ehsaan Ganesh",738,"2022-01-31","22338","Net Banking"
"Ehsaan Ganesh",738,"2022-11-27","43196","Credit Card"
"Ehsaan Ganesh",451,"2024-03-19","11534","UPI"
"Ehsaan Ganesh",451,"2024-08-06","31444","UPI"
"Ehsaan Jha",552,"2019-11-09","21514","Cash"
"Ehsaan Jha",912,"2021-04-15","34679","Cash"
"Ehsaan Jha",552,"2021-05-04","6223","Credit Card"
"Ehsaan Jha",552,"2023-11-19","27863","Cash"
"Ehsaan Jha",552,"2024-10-20","26426","UPI"
"Ehsaan Kapoor",29,"2019-11-18","18772","Net Banking"
"Ehsaan Kapoor",291,"2024-02-06","25857","UPI"
"Ehsaan Kapoor",29,"2024-08-14","48111","Cash"
"Ehsaan Tata",100,"2019-11-16","30355","Net Banking"
"Ehsaan Tata",717,"2019-12-05","22789","Cash"
"Ehsaan Tata",100,"2020-11-27","31762","Cash"
"Ehsaan Tata",100,"2021-08-27","23017","UPI"
"Ehsaan Tata",100,"2022-07-03","30749","Credit Card"
"Ehsaan Tata",100,"2022-09-02","29540","Credit Card"
"Ehsaan Tata",717,"2024-02-12","14498","UPI"
"Ehsaan Tata",100,"2024-09-17","44115","UPI"
"Ehsaan Tata",717,"2024-09-28","41134","Credit Card"
"Ehsaan Tiwari",75,"2021-07-16","10110","Debit Card"
"Ehsaan Tiwari",75,"2024-06-04","22140","Debit Card"
"Ela Badami",370,"2020-02-08","5651","Debit Card"
"Ela Badami",370,"2021-01-11","6398","Net Banking"
"Ela Wason",892,"2020-05-11","5909","Cash"
"Ela Wason",892,"2023-12-08","2071","Credit Card"
"Ela Wason",892,"2024-01-30","27054","Cash"
"Elakshi Konda",85,"2021-03-06","1569","Credit Card"
"Elakshi Konda",85,"2024-08-24","37074","Debit Card"
"Elakshi Konda",468,"2024-08-24","2066","UPI"
"Elakshi Tella",976,"2020-01-21","3650","Credit Card"
"Elakshi Tella",976,"2022-05-23","44375","Credit Card"
"Elakshi Tella",123,"2024-02-19","49523","Cash"
"Elakshi Tella",976,"2024-04-16","6351","Cash"
"Emir Tandon",217,"2020-04-01","25498","Credit Card"
"Eshani Kar",851,"2020-07-11","44761","Debit Card"
"Eshani Shere",375,"2020-03-16","16821","UPI"
"Eshani Srivastava",773,"2020-09-28","2274","UPI"
"Eshani Srivastava",773,"2022-02-12","40489","Net Banking"
"Eshani Srivastava",679,"2022-06-21","3650","Credit Card"
"Eshani Srivastava",773,"2023-06-13","28056","UPI"
"Eva Dhaliwal",171,"2020-04-25","16441","Credit Card"
"Eva Dhaliwal",171,"2020-10-08","26477","Credit Card"
"Eva Dhaliwal",967,"2022-08-25","3354","Credit Card"
"Eva Dhaliwal",171,"2024-07-22","12291","UPI"
"Eva Tiwari",93,"2023-03-11","41663","Net Banking"
"Fateh Sur",205,"2020-05-15","7649","UPI"
"Gatik Golla",46,"2022-09-22","45962","Cash"
"Gatik Lad",280,"2021-01-28","21285","Debit Card"
"Gatik Lad",833,"2022-07-12","38054","Net Banking"
"Gatik Lad",833,"2023-10-30","14350","Credit Card"
"Gatik Lad",280,"2023-12-15","17353","Cash"
"Gokul Vohra",706,"2020-10-11","8380","Net Banking"
"Gokul Vohra",706,"2022-04-19","16687","UPI"
"Gokul Vohra",706,"2023-07-31","13740","Net Banking"
"Gokul Vohra",617,"2023-10-13","4246","Net Banking"
"Hansh Barman",353,"2023-03-01","2036","Debit Card"
"Hazel Kala",266,"2020-11-18","34724","Credit Card"
"Hazel Kala",197,"2022-02-24","28260","UPI"
"Hazel Kala",266,"2022-03-09","25687","UPI"
"Hazel Kala",266,"2022-10-12","37746","Debit Card"
"Hazel Kala",266,"2023-11-15","13642","Net Banking"
"Hazel Kala",197,"2024-03-31","8575","Debit Card"
"Hazel Savant",654,"2020-12-06","48328","Cash"
"Hazel Savant",30,"2021-01-17","29297","UPI"
"Hazel Savant",30,"2022-11-08","6090","Net Banking"
"Hazel Savant",30,"2023-04-11","21188","Debit Card"
"Heer Chanda",674,"2019-12-01","23480","Credit Card"
"Heer Chanda",674,"2021-07-27","34646","Debit Card"
"Heer Garde",384,"2021-05-31","22117","Debit Card"
"Heer Garde",384,"2021-12-01","10885","Debit Card"
"Heer Garde",490,"2022-03-20","32061","Debit Card"
"Heer Garde",490,"2022-07-05","7050","UPI"
"Heer Garde",490,"2023-02-04","47888","Credit Card"
"Heer Garde",384,"2023-07-13","39892","Credit Card"
"Heer Garde",490,"2023-09-19","26852","UPI"
"Heer Singh",16,"2020-02-09","4166","Net Banking"
"Heer Singh",16,"2024-01-02","11130","UPI"
"Heer Singh",16,"2024-05-29","9816","Cash"
"Heer Thaker",361,"2020-04-06","41551","UPI"
"Heer Thaker",235,"2021-07-08","40823","Credit Card"
"Heer Thaker",361,"2022-02-04","31167","Net Banking"
"Heer Thaker",235,"2023-05-02","4200","Net Banking"
"Heer Thaker",235,"2023-06-29","24462","Credit Card"
"Heer Thaker",361,"2023-12-22","15380","UPI"
"Heer Verma",31,"2021-04-17","30102","Debit Card"
"Heer Verma",849,"2021-11-09","21109","Net Banking"
"Heer Verma",849,"2022-12-01","31197","Cash"
"Heer Verma",31,"2023-11-03","14561","Net Banking"
"Himmat Sheth",39,"2020-08-26","23576","UPI"
"Hiran Golla",856,"2019-11-22","34322","Net Banking"
"Hiran Golla",856,"2021-05-15","49009","Debit Card"
"Hiran Golla",856,"2022-06-10","1702","Credit Card"
"Hiran Golla",856,"2023-03-03","5057","UPI"
"Hiran Johal",588,"2020-05-01","44285","Credit Card"
"Hiran Johal",868,"2021-01-29","16728","Net Banking"
"Hiran Johal",868,"2021-04-28","7079","Debit Card"
"Hiran Kumar",743,"2020-02-17","25864","Cash"
"Hiran Kumar",473,"2024-08-03","2514","UPI"
"Hridaan Banik",131,"2020-11-17","4473","Credit Card"
"Hridaan Vala",56,"2019-11-03","12870","UPI"
"Hridaan Vala",56,"2021-03-05","27530","Credit Card"
"Hrishita Dhar",394,"2019-11-12","14676","UPI"
"Hrishita Dhar",394,"2021-06-09","25273","Cash"
"Hrishita Dhar",18,"2021-07-06","49323","Net Banking"
"Hrishita Dhar",18,"2021-08-18","9760","Cash"
"Hrishita Dhar",611,"2022-08-30","15586","Credit Card"
"Hrishita Dhar",234,"2023-01-16","40555","UPI"
"Hrishita Dhar",611,"2024-03-15","44260","Cash"
"Hrishita Dhar",234,"2024-08-01","46880","Debit Card"
"Hrishita Dhillon",564,"2021-09-06","8797","Cash"
"Hrishita Dhillon",564,"2022-07-07","7264","Cash"
"Hrishita Ratta",795,"2020-03-28","9452","Cash"
"Hrishita Ratta",795,"2021-10-16","9838","UPI"
"Hrishita Ratta",848,"2023-04-02","18850","Credit Card"
"Hrishita Ratta",848,"2023-04-21","16346","Cash"
"Hrishita Ratta",795,"2023-11-18","7944","Debit Card"
"Hrishita Samra",542,"2021-03-06","25110","Credit Card"
"Hrishita Sundaram",174,"2020-05-04","38363","UPI"
"Hrishita Sundaram",963,"2020-11-14","23176","UPI"
"Hrishita Sundaram",963,"2022-09-07","29493","Net Banking"
"Hrishita Sundaram",174,"2022-11-18","5612","Net Banking"
"Hrishita Swaminathan",894,"2019-12-03","27203","UPI"
"Hrishita Swaminathan",894,"2020-08-03","30596","Net Banking"
"Hrishita Swaminathan",894,"2023-04-26","7707","Cash"
"Hunar Bhasin",530,"2022-06-15","9512","Net Banking"
"Hunar Dass",472,"2022-04-25","40567","UPI"
"Hunar Dass",472,"2022-09-29","18431","UPI"
"Hunar Dass",472,"2023-03-26","29139","Credit Card"
"Hunar Sura",582,"2019-11-07","1257","Cash"
"Hunar Sura",582,"2021-10-30","37626","UPI"
"Hunar Sura",582,"2021-12-26","32371","Net Banking"
"Hunar Sura",582,"2022-01-01","7192","Cash"
"Hunar Sura",582,"2022-05-02","17115","Cash"
"Inaaya  Kalla",875,"2019-12-06","38335","Cash"
"Inaaya  Kalla",875,"2022-12-17","31163","UPI"
"Inaaya  Ramachandran",956,"2020-05-07","36597","Debit Card"
"Inaaya  Ramachandran",53,"2021-04-22","6778","Debit Card"
"Inaaya  Ramachandran",956,"2023-07-27","11724","Cash"
"Indranil Loke",949,"2020-02-25","38489","Credit Card"
"Indranil Loke",949,"2024-07-27","3828","Cash"
"Indranil Ramaswamy",553,"2023-07-19","40213","Net Banking"
"Indrans Dube",587,"2021-10-05","22934","Debit Card"
"Indrans Dube",587,"2023-03-19","2128","UPI"
"Indrans Dube",522,"2024-03-31","13508","Net Banking"
"Indrans Toor",241,"2020-09-22","19634","UPI"
"Indrans Toor",241,"2020-11-13","36198","UPI"
"Indrans Toor",22,"2021-06-06","5887","Cash"
"Indrans Toor",388,"2023-01-06","46138","Debit Card"
"Indrans Toor",22,"2023-08-06","38445","Credit Card"
"Indrans Toor",22,"2023-12-21","39296","Debit Card"
"Ira Dutt",636,"2020-11-20","43993","Credit Card"
"Ira Sood",6,"2020-03-09","43238","Debit Card"
"Ira Sood",770,"2021-06-01","23954","Debit Card"
"Ira Sood",443,"2021-07-16","49800","Debit Card"
"Ira Sood",770,"2022-07-18","32480","UPI"
"Ira Sood",770,"2022-08-23","47623","UPI"
"Ira Sood",770,"2022-09-04","49795","Credit Card"
"Ira Sood",443,"2022-11-05","33250","Credit Card"
"Ira Sood",6,"2022-11-17","7854","Cash"
"Ira Sood",770,"2024-04-06","16122","Net Banking"
"Ishita Agate",788,"2022-08-26","21768","UPI"
"Ishita Agate",788,"2023-11-30","34392","Debit Card"
"Ishita Agate",788,"2024-09-02","35256","Net Banking"
"Ishita Hayre",633,"2019-11-15","29456","UPI"
"Ishita Seth",590,"2022-02-08","15115","UPI"
"Ishita Seth",590,"2022-06-15","21630","Debit Card"
"Ishita Seth",590,"2023-02-23","39886","Credit Card"
"Ivan Garg",461,"2021-01-18","44997","Credit Card"
"Ivan Garg",461,"2022-11-12","18817","UPI"
"Ivan Garg",461,"2024-03-16","18343","Net Banking"
"Ivan Rama",44,"2020-08-29","25573","Cash"
"Ivan Rama",44,"2021-03-23","30725","Cash"
"Ivan Raman",399,"2020-06-03","30166","UPI"
"Ivan Raman",399,"2022-08-03","28501","UPI"
"Ivana Khurana",489,"2020-05-25","29698","UPI"
"Ivana Khurana",709,"2020-12-09","41658","Net Banking"
"Ivana Khurana",489,"2021-02-17","3820","Net Banking"
"Ivana Khurana",489,"2021-08-23","42244","Cash"
"Ivana Khurana",489,"2022-01-08","25659","UPI"
"Ivana Khurana",643,"2022-03-06","5065","Debit Card"
"Ivana Khurana",489,"2022-11-25","29772","Cash"
"Ivana Khurana",489,"2023-07-02","30136","Cash"
"Ivana Khurana",489,"2024-05-05","39005","Credit Card"
"Ivana Khurana",643,"2024-08-23","3738","Net Banking"
"Ivana Solanki",418,"2022-08-23","34060","Net Banking"
"Ivana Solanki",925,"2022-12-17","9274","UPI"
"Ivana Solanki",418,"2023-09-22","43353","Cash"
"Ivana Solanki",925,"2023-10-28","46521","Net Banking"
"Jayan Bhatia",381,"2020-11-13","11281","Net Banking"
"Jayan Bhatia",381,"2021-08-28","11544","Net Banking"
"Jayan Bhatia",381,"2021-09-28","49367","Debit Card"
"Jayan Bhatia",381,"2023-06-22","36921","Cash"
"Jayan Deol",546,"2022-11-13","13905","Net Banking"
"Jayan Deol",546,"2023-08-02","34052","Net Banking"
"Jayan Deol",546,"2024-03-16","19587","Cash"
"Jayan Shan",35,"2021-09-15","12270","Debit Card"
"Jayan Shan",942,"2023-09-19","35859","Net Banking"
"Jayan Thakkar",946,"2019-11-23","32460","Debit Card"
"Jayan Thakkar",946,"2020-07-20","39463","Net Banking"
"Jayant Bhandari",373,"2020-06-28","29628","Net Banking"
"Jayant Bhandari",373,"2021-08-22","28868","Credit Card"
"Jayant Bhandari",373,"2021-09-16","12190","Debit Card"
"Jayant Bhandari",373,"2022-10-03","40771","Credit Card"
"Jayant Borra",117,"2019-12-20","8227","Net Banking"
"Jayant Garg",300,"2022-07-12","22947","Debit Card"
"Jayant Garg",300,"2023-09-07","30518","Debit Card"
"Jayant Garg",300,"2023-10-23","24560","Credit Card"
"Jayant Mahajan",600,"2022-07-03","31718","Cash"
"Jayant Mahajan",600,"2023-10-30","40494","Debit Card"
"Jayant Rao",238,"2020-12-09","2447","Debit Card"
"Jayant Rao",238,"2022-11-30","47007","Credit Card"
"Jayant Rao",238,"2023-11-09","31799","Cash"
"Jayant Srinivas",306,"2020-06-29","49998","Cash"
"Jayant Srinivas",306,"2021-10-29","49016","UPI"
"Jayesh Korpal",486,"2024-04-25","41210","Debit Card"
"Jayesh Korpal",486,"2024-09-26","13113","Credit Card"
"Jayesh Magar",132,"2021-08-08","24336","Net Banking"
"Jayesh Magar",132,"2021-10-31","29997","Net Banking"
"Jayesh Magar",132,"2023-12-24","35104","Cash"
"Jhanvi Dyal",265,"2020-06-21","26150","Debit Card"
"Jhanvi Dyal",265,"2024-07-06","17519","UPI"
"Jhanvi Ravi",481,"2021-03-01","7229","Credit Card"
"Jhanvi Ravi",462,"2022-02-07","26514","Credit Card"
"Jivika Dewan",215,"2020-03-03","19500","Net Banking"
"Jivika Varughese",333,"2021-02-17","40191","Debit Card"
"Jivika Varughese",699,"2021-06-06","22043","Net Banking"
"Jivika Varughese",333,"2021-07-14","24120","Credit Card"
"Jivika Varughese",699,"2023-02-28","16369","Credit Card"
"Jivika Varughese",699,"2023-07-01","44741","Cash"
"Jivika Varughese",333,"2023-08-20","21436","Cash"
"Jivika Varughese",333,"2023-08-31","30653","Net Banking"
"Jivika Varughese",699,"2024-03-19","30799","Cash"
"Jivin Choudhury",883,"2022-08-27","26469","Cash"
"Jivin Choudhury",883,"2022-09-07","41097","Net Banking"
"Jivin Choudhury",191,"2022-11-09","5438","Credit Card"
"Jivin Kapur",748,"2020-01-07","1629","UPI"
"Jivin Kapur",748,"2020-05-10","4118","Cash"
"Jivin Kapur",742,"2020-09-04","9339","Debit Card"
"Jivin Kapur",742,"2021-03-28","44232","Debit Card"
"Jivin Kapur",742,"2021-11-22","10963","Credit Card"
"Jivin Kapur",193,"2022-11-27","24708","Net Banking"
"Jivin Kapur",742,"2023-05-29","9580","UPI"
"Jivin Kapur",748,"2023-06-10","24097","Net Banking"
"Jivin Kapur",193,"2024-03-12","1538","Net Banking"
"Jivin Kapur",193,"2024-08-02","10948","Cash"
"Jivin Kuruvilla",248,"2020-09-22","7245","UPI"
"Jivin Kuruvilla",248,"2022-08-13","30353","Net Banking"
"Jivin Magar",596,"2021-08-20","16889","Debit Card"
"Jivin Magar",596,"2021-08-25","1780","Debit Card"
"Jivin Magar",596,"2023-02-20","32043","UPI"
"Jivin Magar",669,"2023-07-19","46909","Net Banking"
"Jivin Maharaj",642,"2020-07-19","33548","Cash"
"Jivin Maharaj",740,"2022-08-26","35756","UPI"
"Jivin Maharaj",740,"2023-03-16","30829","Credit Card"
"Jivin Zachariah",273,"2021-05-21","44858","UPI"
"Jivin Zachariah",273,"2021-10-20","2971","UPI"
"Jiya Grewal",987,"2022-05-08","5730","Credit Card"
"Jiya Grewal",312,"2023-03-05","25983","Credit Card"
"Jiya Grewal",814,"2023-03-07","20608","UPI"
"Jiya Grewal",814,"2023-06-19","41062","Debit Card"
"Jiya Grewal",987,"2024-07-01","18170","Debit Card"
"Jiya Grewal",814,"2024-08-08","24495","Credit Card"
"Jiya Grewal",312,"2024-09-08","25073","Net Banking"
"Jiya Rajagopalan",745,"2020-11-25","36491","Debit Card"
"Jiya Rajagopalan",540,"2021-06-14","28019","Debit Card"
"Jiya Rajagopalan",540,"2022-07-25","46356","Debit Card"
"Jiya Rajagopalan",745,"2023-03-16","27323","UPI"
"Jiya Rajagopalan",540,"2023-04-08","29467","Cash"
"Jiya Rajagopalan",745,"2024-07-24","8104","Net Banking"
"Jiya Ramaswamy",766,"2020-08-26","5370","UPI"
"Jiya Ramaswamy",766,"2020-12-24","42818","Cash"
"Jiya Ramaswamy",766,"2022-03-04","42028","Debit Card"
"Jiya Ramaswamy",766,"2024-03-04","37084","Credit Card"
"Kaira Banerjee",212,"2020-01-27","14653","Credit Card"
"Kaira Banerjee",572,"2021-02-01","39888","Debit Card"
"Kaira Banerjee",212,"2022-05-05","43905","UPI"
"Kaira Banerjee",212,"2022-06-10","10254","Debit Card"
"Kaira Banerjee",572,"2022-07-27","22282","Cash"
"Kaira Banerjee",212,"2022-07-29","2918","UPI"
"Kaira Dass",403,"2020-06-10","16093","UPI"
"Kaira Dass",403,"2021-08-15","36075","Cash"
"Kaira Srinivasan",529,"2020-01-01","36209","UPI"
"Kartik Bains",901,"2019-11-07","26438","UPI"
"Kartik Bains",823,"2020-03-11","23609","Credit Card"
"Kartik Bains",8,"2020-05-01","7068","Cash"
"Kartik Bains",823,"2020-06-16","26639","Debit Card"
"Kartik Bains",8,"2021-03-09","45492","Cash"
"Kartik Bains",8,"2021-10-10","23648","Credit Card"
"Kartik Bains",823,"2021-11-05","13813","Net Banking"
"Kartik Bains",8,"2022-09-06","34061","Debit Card"
"Kartik Bains",823,"2024-09-05","19643","Credit Card"
"Kartik Gola",262,"2020-03-02","49838","Debit Card"
"Kartik Gola",104,"2020-07-03","44929","UPI"
"Kartik Gola",262,"2020-08-02","17318","Net Banking"
"Kartik Gola",831,"2021-04-17","45914","Cash"
"Kartik Gola",104,"2022-08-29","39337","Net Banking"
"Kartik Gola",104,"2022-12-29","24131","UPI"
"Kartik Gola",104,"2023-01-30","42077","Cash"
"Kartik Gola",104,"2023-05-01","12700","UPI"
"Kartik Gola",831,"2024-06-10","19087","Net Banking"
"Kartik Gola",262,"2024-06-19","25839","Cash"
"Kartik Kale",211,"2021-10-04","22757","Debit Card"
"Kartik Kale",211,"2022-08-24","3216","Cash"
"Kartik Kale",211,"2024-03-28","13260","UPI"
"Kartik Magar",804,"2020-06-26","41742","Net Banking"
"Kartik Magar",804,"2021-04-17","6800","UPI"
"Kartik Magar",74,"2021-11-04","19197","Cash"
"Kartik Magar",74,"2022-10-30","28545","Cash"
"Kartik Ramachandran",284,"2021-05-26","3871","Credit Card"
"Kartik Ramachandran",284,"2021-05-31","34754","Debit Card"
"Kartik Ramachandran",284,"2024-10-18","7826","Cash"
"Kashvi Bandi",521,"2020-01-31","25910","Debit Card"
"Kashvi Bandi",521,"2020-05-07","20449","Cash"
"Kashvi Bandi",521,"2022-09-08","16701","Debit Card"
"Kashvi Bandi",826,"2023-05-24","48790","Net Banking"
"Kashvi Dhar",948,"2024-01-13","41563","Debit Card"
"Kashvi Ranganathan",268,"2020-07-07","28551","Net Banking"
"Kashvi Ranganathan",271,"2020-09-30","47620","Net Banking"
"Kashvi Ranganathan",271,"2021-02-25","13708","Cash"
"Kashvi Ranganathan",271,"2021-06-10","5079","UPI"
"Kashvi Ranganathan",268,"2024-08-27","33618","Debit Card"
"Kavya Gandhi",695,"2021-12-08","40570","Net Banking"
"Kavya Gandhi",695,"2021-12-09","16893","Cash"
"Kavya Gandhi",695,"2022-11-28","42951","Credit Card"
"Kavya Gandhi",695,"2024-05-09","20535","Debit Card"
"Kavya Sahota",512,"2019-12-30","5730","Credit Card"
"Kavya Sahota",512,"2020-08-24","22088","Net Banking"
"Kavya Sahota",512,"2022-07-02","15775","UPI"
"Keya Brar",999,"2020-01-31","12170","Net Banking"
"Keya Brar",999,"2021-02-23","21031","Debit Card"
"Keya Brar",999,"2021-09-22","35869","UPI"
"Keya Brar",999,"2024-06-09","45918","Cash"
"Khushi Boase",609,"2020-08-15","34281","Credit Card"
"Khushi Boase",609,"2022-03-26","13638","Net Banking"
"Khushi Boase",609,"2022-04-26","16269","UPI"
"Khushi Chanda",646,"2021-11-16","22996","Cash"
"Khushi Chanda",405,"2024-08-26","11149","UPI"
"Khushi Chanda",646,"2024-09-16","25671","UPI"
"Khushi Dayal",417,"2021-07-02","14961","Credit Card"
"Khushi Dayal",417,"2024-09-30","6390","UPI"
"Khushi Deshmukh",339,"2020-01-17","26594","Cash"
"Khushi Deshmukh",339,"2020-11-01","5599","Cash"
"Khushi Deshmukh",339,"2022-05-01","27381","Net Banking"
"Khushi Rao",761,"2020-07-22","38510","Cash"
"Khushi Rao",189,"2022-06-12","2864","Cash"
"Khushi Rao",761,"2022-07-21","18668","Net Banking"
"Khushi Rao",189,"2022-12-22","6608","Credit Card"
"Khushi Rao",761,"2023-01-22","48918","Debit Card"
"Khushi Rao",761,"2023-06-29","28047","Credit Card"
"Khushi Rao",427,"2024-02-27","47087","Cash"
"Khushi Sethi",318,"2020-03-12","38036","Debit Card"
"Khushi Sethi",318,"2024-06-06","11545","Cash"
"Khushi Varkey",701,"2023-10-09","17908","UPI"
"Khushi Varkey",701,"2023-12-27","9156","Cash"
"Kiaan Basak",968,"2019-11-11","35976","Net Banking"
"Kiaan Basak",968,"2021-04-16","20671","UPI"
"Kiaan Basak",968,"2022-01-04","36404","Net Banking"
"Kiaan Basak",970,"2022-12-31","41732","Debit Card"
"Kiaan Karpe",38,"2022-03-12","22556","Cash"
"Kiaan Karpe",38,"2023-02-08","42241","Cash"
"Kiaan Karpe",38,"2024-08-21","41646","Debit Card"
"Kiaan Sandhu",298,"2020-06-30","29676","Credit Card"
"Kiaan Sandhu",298,"2020-12-25","29732","Credit Card"
"Kiaan Sandhu",298,"2022-02-11","32861","Debit Card"
"Kiaan Sandhu",298,"2023-06-04","8574","Credit Card"
"Kiaan Sandhu",298,"2024-03-26","39482","Net Banking"
"Kiaan Sandhu",298,"2024-08-12","8855","Credit Card"
"Kiaan Sandhu",298,"2024-09-27","27417","Credit Card"
"Kiaan Shukla",950,"2021-05-24","6068","Cash"
"Kiaan Shukla",887,"2021-09-15","18061","Credit Card"
"Kiaan Shukla",448,"2022-09-15","5569","Credit Card"
"Kiaan Shukla",887,"2024-01-26","26919","UPI"
"Kiaan Shukla",950,"2024-09-18","8259","Net Banking"
"Kiaan Shukla",950,"2024-09-24","6043","Net Banking"
"Kiaan Shukla",950,"2024-10-05","11320","Net Banking"
"Kiaan Swaminathan",494,"2021-03-18","10732","Cash"
"Kiaan Swaminathan",494,"2023-04-21","9287","UPI"
"Kiaan Swaminathan",693,"2024-05-20","23347","Net Banking"
"Kiaan Tara",707,"2021-11-29","27020","Net Banking"
"Kiaan Tara",707,"2021-12-04","13548","Debit Card"
"Kiaan Tara",604,"2022-02-04","8437","Debit Card"
"Kiaan Tara",604,"2023-04-29","10672","UPI"
"Kiaan Tara",604,"2023-05-19","44439","Debit Card"
"Kiara Bhargava",627,"2023-08-25","16906","Credit Card"
"Kiara Bhargava",43,"2023-10-02","9742","Debit Card"
"Kiara Bhargava",43,"2024-04-25","30406","Cash"
"Kiara Cherian",261,"2021-05-01","30666","Debit Card"
"Kiara Contractor",746,"2020-05-16","6525","UPI"
"Kiara Contractor",746,"2021-12-06","45090","Debit Card"
"Kiara Contractor",746,"2022-04-19","7315","Cash"
"Kiara Contractor",746,"2023-04-28","10683","UPI"
"Kiara Kaul",436,"2022-10-20","38797","Net Banking"
"Kiara Kaul",436,"2023-06-19","19819","Debit Card"
"Kismat Bal",952,"2021-01-09","11656","Net Banking"
"Kismat Gala",838,"2020-06-30","4581","Cash"
"Kismat Gala",247,"2020-09-09","6252","Credit Card"
"Kismat Gala",247,"2022-08-26","6668","UPI"
"Kismat Gala",247,"2023-12-29","28033","Credit Card"
"Kismat Rana",165,"2021-06-16","22310","Credit Card"
"Kismat Rana",324,"2021-09-18","9038","Debit Card"
"Kismat Rana",324,"2022-02-08","14669","UPI"
"Kismat Rana",165,"2022-03-07","43261","Credit Card"
"Krish Golla",726,"2020-03-03","43064","Net Banking"
"Krish Golla",726,"2021-07-17","49070","UPI"
"Krish Golla",874,"2023-05-28","18468","UPI"
"Lagan Chaudhary",336,"2021-02-02","5312","Debit Card"
"Lagan Chaudhary",65,"2024-09-26","18282","UPI"
"Lagan Hayer",857,"2020-01-01","43599","Cash"
"Lagan Hayer",532,"2021-05-23","28664","Debit Card"
"Lagan Hayer",857,"2022-02-01","17731","UPI"
"Lagan Hayer",618,"2022-07-16","37772","Credit Card"
"Lagan Hayer",857,"2024-05-24","18659","Net Banking"
"Lagan Hayer",857,"2024-05-30","37592","Credit Card"
"Lagan Hayer",532,"2024-09-18","31086","Net Banking"
"Lagan Madan",440,"2020-10-16","34237","Net Banking"
"Lagan Madan",440,"2021-08-13","6270","Cash"
"Lagan Madan",442,"2021-09-25","36613","Cash"
"Lagan Madan",442,"2022-04-24","18372","Credit Card"
"Lagan Madan",705,"2023-03-22","27372","Debit Card"
"Lagan Madan",440,"2023-07-02","3527","UPI"
"Lagan Ramesh",259,"2020-02-06","20567","Debit Card"
"Lagan Ramesh",63,"2020-03-07","2000","UPI"
"Lagan Ramesh",281,"2020-03-07","7482","Credit Card"
"Lagan Ramesh",281,"2020-09-05","2072","UPI"
"Lagan Ramesh",927,"2022-03-01","15729","UPI"
"Lagan Ramesh",63,"2022-03-29","3227","UPI"
"Lagan Ramesh",63,"2022-06-05","17473","Cash"
"Lagan Ramesh",281,"2022-11-05","43574","Debit Card"
"Lagan Ramesh",555,"2023-01-13","12737","Debit Card"
"Lagan Ramesh",63,"2023-06-26","44601","Cash"
"Lagan Ramesh",927,"2023-10-15","38727","Net Banking"
"Lagan Ramesh",259,"2024-04-27","36225","UPI"
"Lagan Ramesh",927,"2024-07-15","25184","UPI"
"Lakshay Bakshi",437,"2020-10-14","49530","Debit Card"
"Lakshay Bakshi",412,"2021-01-21","1253","Debit Card"
"Lakshay Bakshi",412,"2021-12-21","5446","Net Banking"
"Lakshay Bakshi",437,"2022-08-24","4093","Net Banking"
"Lakshay Bakshi",437,"2022-10-22","10954","UPI"
"Lakshay Gupta",668,"2020-02-21","49622","UPI"
"Lakshay Gupta",922,"2021-02-17","25216","Debit Card"
"Lakshay Gupta",517,"2021-02-27","5161","Credit Card"
"Lakshay Gupta",922,"2021-08-06","23828","UPI"
"Lakshay Gupta",668,"2022-02-24","6892","Cash"
"Lakshay Gupta",922,"2022-10-11","7236","UPI"
"Lakshay Gupta",668,"2023-08-17","5507","UPI"
